size_sqft,bedrooms,age_years,dist_center_km,price
1336.0,5,52,1.38,358380.0
1246.0,2,22,13.86,247001.0
677.0,2,15,3.24,172939.0
1691.0,5,25,10.6,389682.0
1616.0,4,33,11.61,324966.0
1925.0,1,20,0.5,397642.0
1234.0,5,27,22.09,223234.0
2448.0,1,9,3.91,513846.0
1310.0,1,35,12.54,232594.0
1062.0,3,42,3.87,270007.0
1003.0,4,31,3.41,250509.0
633.0,1,52,11.44,99612.0
2266.0,4,59,21.08,377190.0
2186.0,1,54,6.43,414907.0
1800.0,4,5,0.5,406671.0
1052.0,1,52,5.44,184259.0
2406.0,3,20,2.69,503963.0
1324.0,4,27,6.16,311285.0
1365.0,2,24,4.18,251396.0
2219.0,4,17,2.1,483684.0
1829.0,4,52,0.5,416083.0
2601.0,4,38,0.5,536741.0
1624.0,2,58,9.66,291376.0
1301.0,4,57,3.56,292034.0
1194.0,4,25,21.29,237918.0
577.0,2,43,25.76,46327.0
1361.0,4,30,10.44,298697.0
2072.0,5,29,6.91,478929.0
1799.0,5,44,2.48,379973.0
1510.0,4,41,4.63,325769.0
1003.0,4,54,6.48,193262.0
1613.0,5,46,17.18,350625.0
2006.0,2,37,8.1,384951.0
1715.0,4,55,2.3,346620.0
1583.0,1,6,3.99,335539.0
1102.0,2,45,26.09,133913.0
1934.0,5,23,1.98,422860.0
400.0,2,25,11.02,62449.0
1691.0,5,46,1.36,361914.0
2785.0,3,16,1.56,612782.0
746.0,2,53,18.21,98881.0
1379.0,1,29,4.86,287154.0
1496.0,3,20,5.26,311594.0
1269.0,3,19,3.18,317622.0
2018.0,3,25,3.78,401292.0
1736.0,1,56,4.68,319652.0
1576.0,2,6,2.03,354152.0
1899.0,1,30,1.73,435766.0
1508.0,2,50,12.33,290288.0
3090.0,5,28,3.15,634511.0
1576.0,1,33,4.99,324385.0
1598.0,4,20,25.46,358654.0
645.0,1,8,0.5,132417.0
1228.0,3,38,2.48,257200.0
2074.0,5,55,5.81,430910.0
832.0,2,31,16.38,145442.0
421.0,1,25,12.47,75083.0
1516.0,3,7,17.18,278154.0
2185.0,2,56,2.59,455895.0
1521.0,5,52,6.27,302827.0
1332.0,5,54,20.76,254252.0
571.0,4,21,14.54,178466.0
1726.0,4,37,5.54,373738.0
1831.0,4,25,0.72,392862.0
609.0,4,14,6.98,153777.0
2067.0,3,12,0.5,450258.0
1883.0,5,23,13.32,386622.0
2066.0,2,33,21.51,366103.0
1792.0,1,7,10.94,314060.0
1827.0,4,42,2.53,417966.0
1760.0,4,27,5.27,392342.0
1934.0,5,52,5.8,418922.0
591.0,2,16,3.44,199227.0
749.0,3,3,16.44,167245.0
1132.0,3,18,3.42,255957.0
1435.0,2,58,15.48,231775.0
1694.0,4,19,6.35,375884.0
1662.0,3,42,1.08,355117.0
2059.0,4,50,17.37,367667.0
2074.0,3,17,5.52,387624.0
1064.0,2,38,0.83,224584.0
1619.0,5,12,17.37,363763.0
1076.0,3,21,11.96,239410.0
1406.0,4,17,2.58,371701.0
1661.0,3,40,4.37,397739.0
400.0,2,52,20.01,69360.0
2706.0,5,15,3.34,624560.0
1783.0,2,17,6.81,386103.0
1202.0,5,49,12.76,306653.0
2464.0,3,27,3.59,552371.0
1326.0,1,30,15.79,256141.0
1566.0,1,42,9.62,302119.0
1256.0,5,8,6.42,320355.0
2326.0,3,52,5.52,454475.0
1448.0,2,21,14.91,270578.0
1575.0,5,39,10.94,359960.0
2102.0,4,25,5.18,434787.0
1793.0,4,45,3.34,381879.0
1473.0,4,36,3.84,275913.0
2055.0,1,10,7.87,446409.0
2769.0,1,11,0.5,547652.0
1659.0,4,52,1.41,374116.0
1558.0,1,31,21.95,291301.0
1585.0,4,16,12.24,353355.0
2155.0,1,8,11.26,448853.0
1200.0,2,7,6.21,240791.0
1361.0,4,55,2.54,363267.0
731.0,4,58,7.21,200783.0
908.0,4,23,0.5,258782.0
1241.0,4,12,5.55,342762.0
1472.0,1,25,0.5,279250.0
2385.0,5,8,3.76,529313.0
1768.0,2,32,33.75,307499.0
1044.0,1,37,3.15,167190.0
1136.0,5,59,9.4,268084.0
2187.0,1,19,4.11,444495.0
2063.0,3,11,0.5,505326.0
1514.0,3,8,0.5,320060.0
1279.0,4,22,1.3,358924.0
2062.0,1,36,2.02,387400.0
1003.0,1,3,4.01,219991.0
1696.0,3,45,2.25,326988.0
2636.0,3,27,6.04,502621.0
1603.0,4,47,12.04,334861.0
1112.0,4,27,0.5,259287.0
1705.0,1,9,1.19,379684.0
1265.0,5,1,22.96,266457.0
803.0,3,33,10.33,151803.0
1851.0,5,32,1.46,414927.0
2059.0,5,48,0.62,463765.0
1345.0,1,52,15.41,212240.0
1311.0,3,9,19.04,267580.0
1019.0,3,18,5.95,263605.0
1425.0,3,12,6.22,350313.0
1219.0,2,6,0.71,284701.0
994.0,3,0,5.4,231692.0
2446.0,3,4,6.45,514658.0
1733.0,1,31,22.15,297506.0
1786.0,2,9,1.51,353265.0
1942.0,1,11,3.42,373176.0
1886.0,5,7,5.17,425294.0
1293.0,4,43,1.47,298809.0
1636.0,2,38,12.33,288123.0
1365.0,2,57,2.78,289533.0
1719.0,1,6,2.74,321320.0
1671.0,2,12,12.54,294036.0
1309.0,5,27,0.79,328242.0
835.0,1,38,6.25,161833.0
1573.0,1,7,2.84,297668.0
1398.0,5,12,4.06,339665.0
555.0,3,25,5.28,149008.0
1754.0,1,1,10.5,338571.0
1983.0,3,23,7.57,414556.0
2764.0,4,45,8.34,529986.0
1304.0,2,31,7.02,305866.0
1231.0,2,26,5.29,277055.0
945.0,4,29,15.76,189483.0
1604.0,3,56,0.51,339813.0
1601.0,5,31,8.76,365237.0
1094.0,2,32,5.37,265645.0
1413.0,2,55,1.61,270427.0
511.0,1,9,21.49,104438.0
1963.0,4,5,15.44,414108.0
1115.0,3,26,15.73,264933.0
1483.0,2,19,3.26,354158.0
787.0,4,12,7.04,225817.0
1209.0,2,7,9.62,256579.0
1360.0,1,52,6.39,261717.0
1494.0,3,36,8.01,306651.0
1740.0,3,41,7.88,393750.0
2220.0,3,7,4.6,477080.0
1866.0,3,20,3.35,394739.0
1981.0,5,37,3.36,430433.0
2223.0,2,31,1.35,420973.0
1785.0,2,41,13.9,340679.0
1482.0,3,40,23.02,240123.0
2005.0,1,24,5.69,417004.0
2037.0,1,46,6.09,344164.0
1824.0,3,15,40.0,294552.0
773.0,3,4,15.14,214212.0
1079.0,4,54,11.79,171890.0
1363.0,1,1,2.21,353295.0
1890.0,5,17,12.2,404330.0
1489.0,3,6,0.83,359312.0
2068.0,1,13,1.95,435351.0
2158.0,2,23,6.38,448986.0
2100.0,2,7,3.12,449798.0
2103.0,3,28,4.33,463049.0
982.0,3,55,3.6,229845.0
1741.0,3,8,9.19,418477.0
1196.0,3,55,3.75,268121.0
675.0,5,24,4.59,262733.0
1356.0,5,35,18.21,309025.0
2162.0,3,26,15.79,370922.0
1730.0,5,18,0.5,485837.0
2509.0,5,6,2.46,550077.0
1589.0,5,35,16.88,369697.0
2724.0,2,54,0.5,526272.0
1589.0,3,31,1.88,377071.0
1511.0,2,35,7.68,283777.0
860.0,1,38,7.19,183514.0
2055.0,1,23,4.99,395256.0
1249.0,4,7,4.59,354903.0
1176.0,3,30,9.39,265557.0
2141.0,5,52,10.53,460527.0
2079.0,4,18,13.28,375900.0
2066.0,1,52,5.54,376521.0
1319.0,5,51,1.43,327581.0
1475.0,3,14,7.17,333305.0
1470.0,3,34,10.81,324016.0
1891.0,5,44,28.11,336737.0
2277.0,4,29,5.58,481114.0
1684.0,1,41,3.46,354496.0
2487.0,1,54,17.96,358687.0
1949.0,3,37,0.5,429381.0
1383.0,1,50,3.72,254367.0
1914.0,1,48,7.54,325770.0
2353.0,4,48,2.78,495213.0
2499.0,1,51,15.88,457104.0
2093.0,1,13,7.65,434446.0
1513.0,3,1,30.2,272526.0
1392.0,1,9,4.78,315848.0
1788.0,2,14,1.8,406962.0
2337.0,5,41,16.56,460990.0
1717.0,4,30,5.23,362027.0
1727.0,5,28,12.43,360342.0
1526.0,2,0,5.71,358444.0
1336.0,4,41,1.09,313380.0
1419.0,2,21,1.04,289347.0
1568.0,2,45,3.21,274430.0
2359.0,1,6,1.04,502507.0
1380.0,5,17,0.61,344334.0
1526.0,1,3,23.96,273729.0
1067.0,2,17,2.05,283367.0
1858.0,3,55,6.51,333244.0
2183.0,3,29,0.5,462173.0
