customer_id,age,income,city,plan,tenure_months,monthly_spend,support_calls,churn,signup_date,signup_year,signup_month,signup_weekday,days_as_member,income_was_missing,income_capped
55,30.0,46931.9,Nakuru,Basic,53,48.19,1,0,2023-08-11,2023,8,Friday,143,0,46931.9
56,29.0,42043.43,Nairobi,Basic,19,26.66,1,1,2023-12-18,2023,12,Monday,14,0,42043.43
57,32.0,33632.1,Nakuru,Basic,22,54.91,0,1,2022-10-05,2022,10,Wednesday,453,0,33632.1
58,50.0,29256.84,Nairobi,Standard,45,33.56,1,0,2023-05-16,2023,5,Tuesday,230,0,29256.84
59,26.0,26311.57,Nakuru,Premium,5,35.23,0,0,2023-11-25,2023,11,Saturday,37,0,26311.57
60,45.0,31432.62,Nairobi,Basic,23,64.24,1,1,2023-04-20,2023,4,Thursday,256,0,31432.62
61,18.0,47318.65,Nairobi,Basic,51,65.24,2,0,2023-09-06,2023,9,Wednesday,117,0,47318.65
62,32.0,57939.09,Eldoret,Basic,70,63.86,4,0,2023-05-18,2023,5,Thursday,228,0,57939.09
63,35.0,50290.48,Nakuru,Standard,37,53.52,1,0,2023-05-29,2023,5,Monday,217,0,50290.48
64,41.0,33430.78,Nakuru,Standard,29,28.05,4,1,2022-10-11,2022,10,Tuesday,447,0,33430.78
65,42.0,76887.01,Eldoret,Standard,32,54.48,2,0,2023-10-01,2023,10,Sunday,92,0,76887.01
66,43.0,70948.27,Mombasa,Premium,49,120.05,0,0,2022-04-09,2022,4,Saturday,632,0,70948.27
67,32.0,45259.86,Nairobi,Basic,39,79.7,2,0,2023-02-27,2023,2,Monday,308,0,45259.86
68,30.0,35367.26,Nairobi,Standard,2,37.57,0,1,2023-06-11,2023,6,Sunday,204,0,35367.26
69,44.0,64486.68,Mombasa,Standard,39,51.87,2,0,2023-09-10,2023,9,Sunday,113,0,64486.68
70,33.0,53851.57,Nairobi,Basic,29,87.68,4,0,2023-01-19,2023,1,Thursday,347,0,53851.57
71,22.0,42928.494999999995,Eldoret,Premium,50,14.11,2,0,2022-10-02,2022,10,Sunday,456,1,42928.494999999995
72,24.0,47382.58,Nairobi,Basic,63,60.65,1,0,2022-08-15,2022,8,Monday,504,0,47382.58
73,26.0,55883.13,Nairobi,Standard,69,67.66,2,0,2022-11-05,2022,11,Saturday,422,0,55883.13
74,40.0,31261.81,Nairobi,Standard,44,45.68,1,0,2022-12-21,2022,12,Wednesday,376,0,31261.81
75,36.0,53901.94,Nairobi,Premium,26,43.48,3,1,2023-06-09,2023,6,Friday,206,0,53901.94
76,42.0,23684.8,Nairobi,Standard,32,40.25,1,1,2023-10-12,2023,10,Thursday,81,0,23684.8
77,31.0,95615.77,Kisumu,Basic,13,104.26,3,1,2022-02-23,2022,2,Wednesday,677,0,95615.77
78,37.0,91489.09,Nairobi,Premium,67,129.35,0,0,2023-11-13,2023,11,Monday,49,0,91489.09
79,41.0,43206.29,Kisumu,Standard,61,13.66,0,0,2023-01-23,2023,1,Monday,343,0,43206.29
80,32.0,58790.01,Nakuru,Standard,61,73.96,0,0,2022-09-19,2022,9,Monday,469,0,58790.01
81,40.0,14691.72,Kisumu,Standard,24,24.96,2,1,2023-05-07,2023,5,Sunday,239,0,14691.72
82,28.0,27496.83,Kisumu,Basic,23,25.81,1,1,2023-02-22,2023,2,Wednesday,313,0,27496.83
83,31.0,42324.04,Nairobi,Standard,61,25.63,2,0,2022-07-05,2022,7,Tuesday,545,0,42324.04
84,31.0,28679.37,Nairobi,Premium,39,25.82,2,0,2022-08-23,2022,8,Tuesday,496,0,28679.37
85,23.0,70066.37,Nairobi,Basic,51,75.5,3,0,2023-06-10,2023,6,Saturday,205,0,70066.37
86,40.0,133072.35,Eldoret,Basic,35,93.65,4,1,2023-03-10,2023,3,Friday,297,0,109551.28749999999
87,30.0,27219.6,Kisumu,Premium,32,47.91,2,1,2023-01-04,2023,1,Wednesday,362,0,27219.6
88,35.0,32249.84,Nairobi,Standard,45,34.58,3,1,2022-09-04,2022,9,Sunday,484,0,32249.84
89,40.0,42928.494999999995,Mombasa,Premium,58,98.23,0,0,2023-07-10,2023,7,Monday,175,1,42928.494999999995
90,39.0,109705.86,Nakuru,Basic,24,215.49,4,0,2022-10-13,2022,10,Thursday,445,0,109551.28749999999
91,42.0,26603.89,Kisumu,Premium,58,10.94,1,0,2022-08-28,2022,8,Sunday,491,0,26603.89
92,34.0,55521.08,Mombasa,Basic,18,84.11,0,0,2023-10-12,2023,10,Thursday,81,0,55521.08
93,31.0,121862.6,Nakuru,Standard,29,223.11,1,0,2022-07-12,2022,7,Tuesday,538,0,109551.28749999999
94,34.0,21463.74,Kisumu,Basic,65,31.59,0,0,2022-06-15,2022,6,Wednesday,565,0,21463.74
95,18.0,25834.48,Kisumu,Standard,68,30.64,1,0,2023-06-06,2023,6,Tuesday,209,0,25834.48
96,21.0,39663.9,Nairobi,Premium,66,44.19,0,0,2023-03-31,2023,3,Friday,276,0,39663.9
97,22.0,37786.45,Nairobi,Standard,23,28.32,0,0,2022-02-05,2022,2,Saturday,695,0,37786.45
98,25.0,73592.67,Eldoret,Standard,60,91.31,1,0,2022-03-03,2022,3,Thursday,669,0,73592.67
99,39.0,55316.69,Mombasa,Basic,67,107.16,2,0,2022-10-03,2022,10,Monday,455,0,55316.69
100,26.0,20181.45,Mombasa,Standard,70,39.17,5,0,2023-08-31,2023,8,Thursday,123,0,20181.45
101,31.0,63430.82,Mombasa,Standard,2,39.95,1,1,2022-10-20,2022,10,Thursday,438,0,63430.82
102,48.0,36725.64,Nairobi,Basic,53,49.76,3,0,2023-07-29,2023,7,Saturday,156,0,36725.64
103,31.0,92709.26,Nakuru,Standard,71,81.77,0,0,2022-08-20,2022,8,Saturday,499,0,92709.26
104,42.0,35818.01,Nairobi,Premium,55,56.24,2,1,2022-06-24,2022,6,Friday,556,0,35818.01
105,26.0,35656.7,Nakuru,Standard,17,20.4,1,1,2023-08-01,2023,8,Tuesday,153,0,35656.7
106,33.0,64251.85,Mombasa,Standard,55,116.73,1,0,2023-10-02,2023,10,Monday,91,0,64251.85
107,25.0,71787.33,Nairobi,Basic,8,124.15,1,0,2022-02-27,2022,2,Sunday,673,0,71787.33
108,32.0,61331.55,Nairobi,Standard,35,44.78,1,0,2022-02-12,2022,2,Saturday,688,0,61331.55
109,43.0,21103.65,Nakuru,Basic,45,9.24,2,1,2023-05-06,2023,5,Saturday,240,0,21103.65
110,18.0,64152.43,Nairobi,Basic,33,113.56,2,0,2022-09-03,2022,9,Saturday,485,0,64152.43
111,39.0,29226.93,Nairobi,Basic,50,19.95,0,0,2023-02-23,2023,2,Thursday,312,0,29226.93
112,37.0,55140.41,Nakuru,Basic,18,75.17,1,1,2022-04-20,2022,4,Wednesday,621,0,55140.41
113,29.0,24055.83,Nairobi,Basic,44,47.45,0,0,2023-09-20,2023,9,Wednesday,103,0,24055.83
114,35.0,61277.08,Nairobi,Standard,46,79.34,3,0,2022-11-25,2022,11,Friday,402,0,61277.08
115,36.0,32751.39,Nairobi,Basic,45,35.05,2,0,2023-10-16,2023,10,Monday,77,0,32751.39
116,30.0,25814.27,Nakuru,Basic,21,35.36,0,1,2023-08-05,2023,8,Saturday,149,0,25814.27
117,37.0,70046.18,Nairobi,Basic,22,43.62,2,0,2023-05-30,2023,5,Tuesday,216,0,70046.18
118,35.0,55316.26,Nairobi,Standard,19,101.05,3,1,2022-06-18,2022,6,Saturday,562,0,55316.26
119,51.0,36062.6,Nairobi,Basic,33,38.11,3,1,2023-07-14,2023,7,Friday,171,0,36062.6
120,33.0,101274.45,Nairobi,Basic,42,73.98,1,0,2022-02-07,2022,2,Monday,693,0,101274.45
121,25.0,39327.28,Nairobi,Standard,26,43.6,1,0,2023-02-21,2023,2,Tuesday,314,0,39327.28
122,37.0,49814.12,Nairobi,Basic,30,102.09,0,0,2022-10-23,2022,10,Sunday,435,0,49814.12
123,37.0,56075.64,Nairobi,Premium,21,37.42,0,1,2023-12-29,2023,12,Friday,3,0,56075.64
124,49.0,35960.16,Mombasa,Basic,16,65.55,1,1,2022-05-25,2022,5,Wednesday,586,0,35960.16
125,43.0,62042.08,Nakuru,Basic,47,95.85,0,1,2023-11-22,2023,11,Wednesday,40,0,62042.08
126,39.0,37544.19,Nairobi,Basic,58,68.91,1,1,2022-03-08,2022,3,Tuesday,664,0,37544.19
127,50.0,39901.96,Nairobi,Standard,21,76.51,3,1,2023-03-31,2023,3,Friday,276,0,39901.96
128,23.0,96889.0,Eldoret,Basic,62,172.02,2,0,2023-02-28,2023,2,Tuesday,307,0,96889.0
129,29.0,42928.494999999995,Nakuru,Premium,41,60.16,3,0,2023-10-19,2023,10,Thursday,74,1,42928.494999999995
130,26.0,14670.73,Kisumu,Basic,12,7.32,3,1,2022-08-07,2022,8,Sunday,512,0,14670.73
131,31.0,109696.03,Nairobi,Standard,26,182.71,0,0,2023-10-21,2023,10,Saturday,72,0,109551.28749999999
132,21.0,175371.87,Mombasa,Basic,1,225.26,1,1,2023-05-06,2023,5,Saturday,240,0,109551.28749999999
133,41.0,40029.24,Nairobi,Basic,3,47.33,2,1,2023-10-12,2023,10,Thursday,81,0,40029.24
134,33.0,18612.36,Nairobi,Basic,24,25.26,3,1,2022-05-26,2022,5,Thursday,585,0,18612.36
135,20.0,41972.0,Nairobi,Standard,33,85.82,1,0,2023-07-08,2023,7,Saturday,177,0,41972.0
136,25.0,42484.24,Mombasa,Basic,57,75.2,5,1,2023-11-19,2023,11,Sunday,43,0,42484.24
137,38.0,42928.494999999995,Nairobi,Premium,10,61.71,3,0,2022-02-05,2022,2,Saturday,695,1,42928.494999999995
138,43.0,28093.85,Kisumu,Standard,60,25.15,1,0,2022-09-24,2022,9,Saturday,464,0,28093.85
139,55.0,42928.494999999995,Nairobi,Premium,17,74.33,1,0,2023-04-10,2023,4,Monday,266,1,42928.494999999995
140,64.0,63720.0,Nairobi,Basic,10,73.53,3,1,2022-03-19,2022,3,Saturday,653,0,63720.0
141,39.0,23220.65,Nakuru,Standard,50,22.96,1,0,2023-01-08,2023,1,Sunday,358,0,23220.65
142,25.0,69535.89,Nakuru,Standard,55,44.64,0,0,2023-04-05,2023,4,Wednesday,271,0,69535.89
143,18.0,136809.19,Nairobi,Standard,43,74.26,1,0,2023-07-12,2023,7,Wednesday,173,0,109551.28749999999
144,38.0,42928.494999999995,Mombasa,Premium,9,90.54,4,0,2023-11-08,2023,11,Wednesday,54,1,42928.494999999995
145,27.0,41412.47,Nairobi,Standard,9,43.1,6,0,2022-10-27,2022,10,Thursday,431,0,41412.47
146,31.0,45660.93,Nairobi,Premium,28,87.57,4,1,2022-11-18,2022,11,Friday,409,0,45660.93
147,29.0,66677.87,Kisumu,Standard,32,86.77,1,0,2022-12-13,2022,12,Tuesday,384,0,66677.87
148,34.0,20633.35,Nairobi,Basic,71,14.12,1,0,2023-11-28,2023,11,Tuesday,34,0,20633.35
149,46.0,53220.31,Mombasa,Standard,21,44.31,1,0,2022-05-23,2022,5,Monday,588,0,53220.31
150,37.0,40326.66,Mombasa,Basic,14,28.7,1,1,2022-12-31,2022,12,Saturday,366,0,40326.66
151,33.0,42928.494999999995,Nairobi,Premium,68,236.8,2,0,2022-02-06,2022,2,Sunday,694,1,42928.494999999995
152,25.0,44932.36,Nairobi,Premium,11,26.43,2,1,2022-11-07,2022,11,Monday,420,0,44932.36
153,18.0,112864.56,Nairobi,Basic,2,142.42,1,0,2023-11-22,2023,11,Wednesday,40,0,109551.28749999999
154,30.0,28229.69,Eldoret,Basic,31,50.85,2,1,2023-03-29,2023,3,Wednesday,278,0,28229.69
155,34.0,65750.96,Kisumu,Basic,29,121.5,3,1,2022-09-13,2022,9,Tuesday,475,0,65750.96
156,53.0,57509.2,Nairobi,Basic,44,51.41,2,1,2023-12-28,2023,12,Thursday,4,0,57509.2
157,36.0,31744.55,Nairobi,Basic,63,15.96,1,0,2023-03-17,2023,3,Friday,290,0,31744.55
158,35.0,53567.51,Kisumu,Standard,67,33.75,1,1,2023-11-24,2023,11,Friday,38,0,53567.51
159,30.0,89882.58,Nairobi,Standard,21,50.71,1,0,2022-01-12,2022,1,Wednesday,719,0,89882.58
160,23.0,42928.494999999995,Mombasa,Premium,70,38.41,2,0,2022-12-02,2022,12,Friday,395,1,42928.494999999995
161,25.0,21036.59,Nakuru,Basic,45,31.47,3,1,2023-09-02,2023,9,Saturday,121,0,21036.59
162,35.0,48592.21,Mombasa,Standard,5,90.15,1,0,2023-07-08,2023,7,Saturday,177,0,48592.21
163,56.0,31219.2,Nairobi,Basic,67,43.86,3,0,2022-10-25,2022,10,Tuesday,433,0,31219.2
164,27.0,41308.75,Nairobi,Premium,10,53.64,3,1,2022-12-30,2022,12,Friday,367,0,41308.75
165,43.0,47061.29,Nairobi,Basic,42,37.94,1,0,2022-11-03,2022,11,Thursday,424,0,47061.29
166,26.0,20893.09,Mombasa,Basic,57,36.27,0,0,2023-01-22,2023,1,Sunday,344,0,20893.09
167,44.0,21854.69,Nakuru,Basic,18,28.83,2,1,2022-06-18,2022,6,Saturday,562,0,21854.69
168,39.0,62382.09,Nairobi,Premium,20,114.23,1,0,2023-07-28,2023,7,Friday,157,0,62382.09
169,33.0,37746.22,Mombasa,Basic,34,68.69,1,1,2022-02-26,2022,2,Saturday,674,0,37746.22
170,35.0,13597.32,Kisumu,Standard,63,16.44,2,1,2022-10-30,2022,10,Sunday,428,0,13597.32
171,28.0,72578.36,Nairobi,Standard,16,48.91,3,0,2022-07-25,2022,7,Monday,525,0,72578.36
172,39.0,56172.63,Nairobi,Standard,48,32.54,1,1,2023-06-21,2023,6,Wednesday,194,0,56172.63
173,30.0,34305.56,Nairobi,Basic,33,45.63,2,1,2023-07-01,2023,7,Saturday,184,0,34305.56
174,23.0,25376.65,Kisumu,Basic,8,33.45,2,1,2023-06-04,2023,6,Sunday,211,0,25376.65
175,22.0,74451.56,Mombasa,Basic,51,76.39,1,0,2023-11-06,2023,11,Monday,56,0,74451.56
176,37.0,58376.89,Kisumu,Basic,60,101.81,1,1,2023-11-12,2023,11,Sunday,50,0,58376.89
177,51.0,161345.15,Nakuru,Standard,41,209.89,1,1,2022-05-15,2022,5,Sunday,596,0,109551.28749999999
178,37.0,60481.59,Nakuru,Basic,13,39.49,2,1,2022-03-25,2022,3,Friday,647,0,60481.59
179,34.0,59507.14,Eldoret,Basic,12,52.91,0,0,2022-04-07,2022,4,Thursday,634,0,59507.14
180,38.0,45095.42,Nakuru,Basic,31,71.87,1,0,2023-06-17,2023,6,Saturday,198,0,45095.42
181,48.0,73746.43,Nakuru,Standard,36,101.7,2,0,2023-12-10,2023,12,Sunday,22,0,73746.43
182,37.0,67006.35,Nakuru,Basic,40,82.85,0,0,2023-11-09,2023,11,Thursday,53,0,67006.35
183,31.0,91661.94,Kisumu,Standard,18,76.99,0,0,2023-05-03,2023,5,Wednesday,243,0,91661.94
184,46.0,37772.57,Nakuru,Basic,36,53.83,1,0,2023-12-08,2023,12,Friday,24,0,37772.57
185,39.0,39430.55,Eldoret,Premium,21,26.79,1,0,2023-09-29,2023,9,Friday,94,0,39430.55
186,50.0,38578.42,Mombasa,Standard,49,68.41,1,1,2022-01-11,2022,1,Tuesday,720,0,38578.42
187,37.0,72794.88,Kisumu,Basic,57,61.25,5,1,2022-03-29,2022,3,Tuesday,643,0,72794.88
188,23.0,103692.72,Mombasa,Basic,47,72.2,2,0,2023-09-23,2023,9,Saturday,100,0,103692.72
189,21.0,38971.26,Nakuru,Basic,1,39.98,1,1,2022-03-02,2022,3,Wednesday,670,0,38971.26
190,52.0,39640.76,Mombasa,Basic,71,48.7,5,1,2023-12-18,2023,12,Monday,14,0,39640.76
191,52.0,57356.34,Nakuru,Basic,2,68.08,2,1,2023-08-27,2023,8,Sunday,127,0,57356.34
192,35.0,42928.494999999995,Nakuru,Premium,71,56.54,2,0,2023-11-30,2023,11,Thursday,32,1,42928.494999999995
193,31.0,78907.13,Eldoret,Standard,3,150.45,1,0,2022-09-21,2022,9,Wednesday,467,0,78907.13
194,50.0,15900.59,Nairobi,Basic,37,27.57,0,0,2022-04-19,2022,4,Tuesday,622,0,15900.59
195,24.0,32423.78,Kisumu,Standard,8,39.29,0,0,2023-01-13,2023,1,Friday,353,0,32423.78
196,26.0,33149.8,Nakuru,Basic,7,31.74,0,0,2023-12-12,2023,12,Tuesday,20,0,33149.8
197,41.0,15364.61,Eldoret,Premium,49,5.84,2,1,2022-09-26,2022,9,Monday,462,0,15364.61
198,31.0,30278.12,Eldoret,Basic,52,38.06,4,1,2023-10-12,2023,10,Thursday,81,0,30278.12
199,35.0,31021.07,Mombasa,Standard,9,19.75,1,0,2022-10-08,2022,10,Saturday,450,0,31021.07
200,33.0,44331.36,Mombasa,Standard,70,65.04,5,0,2023-08-24,2023,8,Thursday,130,0,44331.36
201,38.0,85518.07,Nairobi,Basic,23,43.14,4,1,2022-06-17,2022,6,Friday,563,0,85518.07
202,49.0,43367.68,Eldoret,Basic,23,74.62,1,0,2022-12-17,2022,12,Saturday,380,0,43367.68
203,36.0,29278.04,Nairobi,Basic,22,33.34,1,0,2022-08-27,2022,8,Saturday,492,0,29278.04
204,41.0,47644.51,Kisumu,Premium,33,78.9,1,0,2022-06-19,2022,6,Sunday,561,0,47644.51
205,18.0,82833.41,Nakuru,Standard,13,96.74,0,0,2023-10-14,2023,10,Saturday,79,0,82833.41
206,35.0,30092.18,Mombasa,Standard,31,13.22,0,0,2023-08-09,2023,8,Wednesday,145,0,30092.18
207,27.0,31092.21,Nairobi,Standard,15,49.54,2,0,2022-04-12,2022,4,Tuesday,629,0,31092.21
208,23.0,64813.84,Nairobi,Premium,4,105.43,0,0,2023-11-06,2023,11,Monday,56,0,64813.84
209,26.0,43880.79,Nakuru,Basic,27,73.68,1,1,2023-12-10,2023,12,Sunday,22,0,43880.79
210,32.0,67761.02,Mombasa,Standard,48,78.63,3,0,2022-07-14,2022,7,Thursday,536,0,67761.02
211,44.0,48687.45,Nairobi,Standard,55,62.05,1,0,2022-11-08,2022,11,Tuesday,419,0,48687.45
212,22.0,69621.72,Kisumu,Basic,26,120.96,4,1,2023-01-29,2023,1,Sunday,337,0,69621.72
213,35.0,29215.68,Nairobi,Premium,23,43.34,2,0,2023-04-25,2023,4,Tuesday,251,0,29215.68
214,30.0,48725.49,Nakuru,Basic,56,44.65,1,0,2022-11-20,2022,11,Sunday,407,0,48725.49
215,32.0,44119.41,Nairobi,Basic,49,70.45,4,1,2022-04-19,2022,4,Tuesday,622,0,44119.41
216,45.0,26690.27,Nairobi,Premium,60,34.23,1,0,2023-11-11,2023,11,Saturday,51,0,26690.27
217,40.0,22432.39,Nairobi,Basic,65,42.11,2,0,2023-05-21,2023,5,Sunday,225,0,22432.39
218,48.0,69069.91,Mombasa,Basic,59,70.03,1,0,2022-01-30,2022,1,Sunday,701,0,69069.91
219,33.0,41131.26,Mombasa,Basic,67,47.61,1,0,2023-08-18,2023,8,Friday,136,0,41131.26
220,28.0,29403.23,Nakuru,Standard,30,47.32,0,0,2023-06-19,2023,6,Monday,196,0,29403.23
221,33.0,46719.2,Mombasa,Premium,29,57.45,2,0,2022-05-14,2022,5,Saturday,597,0,46719.2
222,37.0,86164.15,Nairobi,Basic,23,137.1,2,0,2023-03-25,2023,3,Saturday,282,0,86164.15
223,37.0,15672.0,Nairobi,Basic,17,14.97,3,0,2023-01-02,2023,1,Monday,364,0,15672.0
224,24.0,23194.74,Nairobi,Basic,54,21.52,2,0,2022-01-21,2022,1,Friday,710,0,23194.74
225,36.0,30901.4,Eldoret,Premium,51,51.18,1,0,2023-11-09,2023,11,Thursday,53,0,30901.4
226,37.0,101782.09,Nairobi,Basic,57,70.47,0,0,2023-06-10,2023,6,Saturday,205,0,101782.09
227,60.0,56460.33,Eldoret,Premium,12,42.9,1,0,2022-08-15,2022,8,Monday,504,0,56460.33
228,54.0,71945.1,Nairobi,Premium,35,107.6,2,0,2022-01-12,2022,1,Wednesday,719,0,71945.1
229,26.0,27720.28,Nairobi,Basic,16,43.75,0,0,2022-03-08,2022,3,Tuesday,664,0,27720.28
230,32.0,28007.62,Nairobi,Premium,64,50.06,2,0,2023-07-08,2023,7,Saturday,177,0,28007.62
231,20.0,61322.79,Nairobi,Standard,19,56.26,1,0,2022-04-20,2022,4,Wednesday,621,0,61322.79
232,35.0,50470.14,Nakuru,Standard,11,42.1,0,0,2023-01-10,2023,1,Tuesday,356,0,50470.14
233,38.0,64496.7,Mombasa,Basic,41,118.04,1,0,2023-10-19,2023,10,Thursday,74,0,64496.7
234,47.0,44630.13,Nairobi,Premium,63,36.5,1,0,2023-11-10,2023,11,Friday,52,0,44630.13
235,28.0,56335.03,Kisumu,Standard,66,35.41,0,1,2022-07-15,2022,7,Friday,535,0,56335.03
236,28.0,53053.68,Kisumu,Standard,7,50.8,0,0,2022-02-18,2022,2,Friday,682,0,53053.68
237,18.0,72322.0,Eldoret,Premium,24,101.47,1,0,2022-12-28,2022,12,Wednesday,369,0,72322.0
238,33.0,73387.15,Eldoret,Basic,11,136.32,1,1,2023-09-07,2023,9,Thursday,116,0,73387.15
239,24.0,42928.494999999995,Kisumu,Premium,22,36.64,0,0,2023-04-01,2023,4,Saturday,275,1,42928.494999999995
240,30.0,15936.47,Nakuru,Premium,38,22.09,1,0,2022-02-18,2022,2,Friday,682,0,15936.47
241,26.0,80892.2,Nakuru,Basic,20,61.86,0,0,2023-04-20,2023,4,Thursday,256,0,80892.2
